Index;Distribution;Cardinality;Indexed fields;Cacheline length;Average query time (in ms)
MultiVersionColumnImprintsSecondaryRecordIndex;Random;10;1;8;212.9
MultiVersionColumnImprintsSecondaryRecordIndex;Random;10;1;16;213.07
MultiVersionColumnImprintsSecondaryRecordIndex;Random;10;1;32;210.26
MultiVersionColumnImprintsSecondaryRecordIndex;Random;10;1;64;211.24
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;10;1;8;210.28
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;10;1;16;212.25
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;10;1;32;210.73
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;10;1;64;212.42
MultiVersionColumnImprintsSecondaryRecordIndex;Random;10;2;8;9.82
MultiVersionColumnImprintsSecondaryRecordIndex;Random;10;2;16;10.28
MultiVersionColumnImprintsSecondaryRecordIndex;Random;10;2;32;11.3
MultiVersionColumnImprintsSecondaryRecordIndex;Random;10;2;64;12.39
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;10;2;8;7.06
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;10;2;16;8.72
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;10;2;32;9.57
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;10;2;64;11.07
MultiVersionColumnImprintsSecondaryRecordIndex;Random;10;3;8;10.27
MultiVersionColumnImprintsSecondaryRecordIndex;Random;10;3;16;10.93
MultiVersionColumnImprintsSecondaryRecordIndex;Random;10;3;32;11.4
MultiVersionColumnImprintsSecondaryRecordIndex;Random;10;3;64;11.54
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;10;3;8;7.14
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;10;3;16;8.76
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;10;3;32;10.09
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;10;3;64;12.46
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100;1;8;35.21
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100;1;16;34.24
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100;1;32;34.31
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100;1;64;34.79
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100;1;8;33.54
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100;1;16;33.18
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100;1;32;33.93
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100;1;64;34.21
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100;2;8;6.94
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100;2;16;5.98
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100;2;32;6.56
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100;2;64;9.0
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100;2;8;4.0
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100;2;16;4.36
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100;2;32;5.91
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100;2;64;8.46
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100;3;8;7.18
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100;3;16;6.77
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100;3;32;7.67
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100;3;64;8.75
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100;3;8;3.96
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100;3;16;4.5
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100;3;32;5.7
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100;3;64;7.64
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000;1;8;11.75
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000;1;16;11.44
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000;1;32;11.77
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000;1;64;12.47
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000;1;8;10.58
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000;1;16;10.38
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000;1;32;11.37
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000;1;64;12.42
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000;2;8;6.74
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000;2;16;5.22
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000;2;32;6.09
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000;2;64;8.49
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000;2;8;4.34
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000;2;16;4.56
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000;2;32;5.79
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000;2;64;7.77
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000;3;8;6.77
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000;3;16;6.18
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000;3;32;7.18
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000;3;64;8.83
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000;3;8;4.43
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000;3;16;4.72
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000;3;32;5.58
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000;3;64;8.05
MultiVersionColumnImprintsSecondaryRecordIndex;Random;10000;1;8;9.62
MultiVersionColumnImprintsSecondaryRecordIndex;Random;10000;1;16;9.19
MultiVersionColumnImprintsSecondaryRecordIndex;Random;10000;1;32;9.16
MultiVersionColumnImprintsSecondaryRecordIndex;Random;10000;1;64;10.41
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;10000;1;8;8.13
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;10000;1;16;7.51
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;10000;1;32;9.04
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;10000;1;64;10.26
MultiVersionColumnImprintsSecondaryRecordIndex;Random;10000;2;8;6.58
MultiVersionColumnImprintsSecondaryRecordIndex;Random;10000;2;16;5.0
MultiVersionColumnImprintsSecondaryRecordIndex;Random;10000;2;32;5.77
MultiVersionColumnImprintsSecondaryRecordIndex;Random;10000;2;64;8.43
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;10000;2;8;3.58
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;10000;2;16;4.48
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;10000;2;32;5.21
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;10000;2;64;7.93
MultiVersionColumnImprintsSecondaryRecordIndex;Random;10000;3;8;6.49
MultiVersionColumnImprintsSecondaryRecordIndex;Random;10000;3;16;6.54
MultiVersionColumnImprintsSecondaryRecordIndex;Random;10000;3;32;6.8
MultiVersionColumnImprintsSecondaryRecordIndex;Random;10000;3;64;8.61
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;10000;3;8;3.72
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;10000;3;16;3.9
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;10000;3;32;6.22
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;10000;3;64;7.9
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100000;1;8;9.34
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100000;1;16;11.58
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100000;1;32;9.27
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100000;1;64;10.13
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100000;1;8;7.4
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100000;1;16;7.45
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100000;1;32;8.81
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100000;1;64;10.41
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100000;2;8;6.35
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100000;2;16;5.08
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100000;2;32;6.66
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100000;2;64;8.54
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100000;2;8;3.58
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100000;2;16;3.8
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100000;2;32;5.22
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100000;2;64;8.22
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100000;3;8;7.16
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100000;3;16;6.65
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100000;3;32;6.92
MultiVersionColumnImprintsSecondaryRecordIndex;Random;100000;3;64;8.6
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100000;3;8;3.57
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100000;3;16;3.96
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100000;3;32;5.8
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;100000;3;64;8.61
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000000;1;8;9.4
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000000;1;16;8.83
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000000;1;32;10.03
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000000;1;64;10.14
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000000;1;8;7.63
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000000;1;16;6.84
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000000;1;32;7.89
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000000;1;64;9.97
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000000;2;8;6.49
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000000;2;16;5.46
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000000;2;32;5.51
MultiVersionColumnImprintsSecondaryRecordIndex;Random;1000000;2;64;9.22
MultiVersionColumnImprintsSecondaryRecordIndexWithoutRLECompression;Random;1000000;2;8;4.26
