Scenario;Type;Commit;Timer (in ms);Heap Memory (in Mb);Direct Memory (in Mb);Target Store Size
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;1;59;5169;2381;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;2;141;5181;2381;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;3;318;5190;2385;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;4;102;5194;2385;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;5;84;5211;2385;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;6;162;5223;2389;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;7;104;5244;2389;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;8;180;5265;2392;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;9;115;5290;2396;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;10;120;5311;2397;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;11;118;5332;2400;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;12;148;5357;2404;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;13;140;5383;2408;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;14;127;5408;2412;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;15;134;5433;2415;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;16;142;5466;2419;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;17;153;5504;2423;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;18;152;5546;2427;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;19;152;5584;2433;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndex;20;158;5626;2439;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;1;21;5191;2359;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;2;81;5204;2359;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;3;75;5212;2363;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;4;69;5221;2363;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;5;67;5229;2363;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;6;84;5242;2367;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;7;98;5263;2367;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;8;101;5284;2371;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;9;96;5309;2375;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;10;96;5330;2375;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;11;117;5355;2379;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;12;118;5380;2382;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;13;120;5401;2387;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;14;120;5431;2390;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;15;124;5456;2393;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;16;144;5489;2398;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;17;157;5531;2402;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;18;148;5569;2405;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;19;153;5607;2412;100
CommitSomeFactsOnBaseStore;MultiVersionColumnImprintsIndexWithoutRLECompression;20;155;5649;2416;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndex;1;713;5234;2381;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndex;2;1344;5414;2381;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndex;3;1344;5586;2381;100
CommitSingleFactOnTargetStore;MultiVersionColumnImprintsIndex;4;1353;5766;2381;100
