BaseCcy,CounterCcy,FxRate
EUR,SAR,4.0347
EUR,LTL,3.4502
EUR,TTD,7.2182
EUR,SRD,7.8324
EUR,KZT,370.0427
EUR,SZL,15.1991
EUR,YER,267.6461
EUR,AFN,70.1726
EUR,MVR,16.4674
EUR,INR,72.7335
EUR,KRW,1257.6603
EUR,NPR,115.6835
EUR,PLN,4.4348
EUR,AWG,1.9348
EUR,AOA,180.229
EUR,MNT,2606.7031
EUR,JPY,117.2413
EUR,GBP,0.8606
EUR,SBD,0.1328
EUR,HUF,310.6715
EUR,BIF,1809.2718
EUR,EUR,1
EUR,HKD,8.383
EUR,RWF,870.935
EUR,DKK,7.4498
EUR,CAD,1.4333
EUR,LSL,15.5349
EUR,NOK,9.0788
EUR,MUR,38.3039
EUR,SYP,553.447
EUR,BGN,1.9454
EUR,MMK,1391.517
EUR,GIP,1.3305
EUR,RON,4.52
EUR,CZK,26.9617
EUR,CRC,596.6854
EUR,LKR,158.6972
EUR,NGN,326.1623
EUR,PKR,113.0403
EUR,ANG,1.9091
EUR,XCD,2.9077
EUR,HTG,68.9383
EUR,BHD,0.4018
EUR,LVL,0.7044
EUR,SCR,14.2388
EUR,BBD,2.1487
EUR,GTQ,8.0795
EUR,MXN,22.0054
EUR,STD,24688.2474
EUR,HNL,24.6696
EUR,UGX,3834.6447
EUR,CDF,992.6783
EUR,CLP,715.7973
EUR,TND,2.4544
EUR,ZAR,15.2258
EUR,MXV,3.9756
EUR,SLL,6076.7409
EUR,BSD,1.0806
EUR,SDG,6.9167
EUR,IQD,1246.3712
EUR,GMD,45.8672
EUR,CUP,1.0716
EUR,MWK,765.9348
EUR,XDR,0.7876
EUR,MGA,3470.049
EUR,BZD,2.1556
EUR,BAM,1.9424
EUR,MOP,8.5938
EUR,EGP,16.6313
EUR,SSP,76.0496
EUR,NAD,15.2107
EUR,NIO,31.2137
EUR,WST,0.4355
EUR,NZD,1.5174
EUR,PEN,3.684
EUR,BRL,3.696
EUR,TMT,3.7536
EUR,CLF,0.0273
EUR,FJD,2.2348
EUR,ARS,16.6646
EUR,QAR,3.8737
EUR,MZN,81.7023
EUR,ERN,16.9201
EUR,MRO,386.9187
EUR,IRR,34567.2818
EUR,XPD,0.0015
EUR,CNY,7.3132
EUR,UZS,3331.9568
EUR,THB,37.91
EUR,XPF,118.5691
EUR,BDT,84.6167
EUR,PHP,52.6891
EUR,KWD,0.3277
EUR,LYD,1.5051
EUR,BMD,1.0719
EUR,XPT,0.0011
EUR,PYG,6155.0755
EUR,RUB,69.9768
EUR,TWD,34.2576
EUR,KMF,479.9232
EUR,MYR,4.6858
EUR,DOP,50.0269
EUR,FKP,0.8504
EUR,GEL,2.6776
EUR,MAD,10.7543
EUR,XOF,652.4538
EUR,CVE,108.6097
EUR,UYU,30.5265
EUR,PGK,0.3532
EUR,OMR,0.414
EUR,TOP,0.4908
EUR,AZN,1.807
EUR,KES,109.2214
EUR,SEK,9.788
EUR,BTN,73.2742
EUR,UAH,28.2975
EUR,CNH,7.3666
EUR,SVC,9.4002
EUR,GNF,9684.6804
EUR,CHF,1.0794
EUR,ALL,135.3265
EUR,HRK,7.5071
EUR,VND,24044.935
EUR,XAU,0.0009
EUR,TZS,2340.234
EUR,ILS,4.1125
EUR,AUD,1.426
EUR,GHS,4.3029
EUR,GYD,220.119
EUR,KPW,140.247
EUR,KYD,0.8911
EUR,MDL,21.5428
EUR,KHR,4337.0164
EUR,BOB,7.3863
EUR,AMD,512.7642
EUR,IDR,14405.8441
EUR,CYP,0.5863
EUR,LBP,1622.43
EUR,BWP,11.5608
EUR,TRY,3.5274
EUR,TJS,8.4112
EUR,AED,3.9621
EUR,JOD,0.7598
EUR,JMD,139.0875
EUR,ISK,121.5588
EUR,COP,3344.3393
EUR,MKD,62.2167
EUR,USD,1.0728
EUR,DZD,119.708
EUR,SGD,1.5244
EUR,PAB,1.0777
EUR,VEB,2311.6979
EUR,ETB,23.6897
EUR,LAK,8807.2251
EUR,ZMK,5533.7456
EUR,ECS,26949.1816
EUR,BND,1.515
EUR,VUV,115.8149
EUR,KGS,73.7118
EUR,VEF,10.6471
EUR,SOS,620.1154
EUR,LRD,100.27
EUR,XAG,0.0629
EUR,XAF,657.0005
EUR,DJF,192.922
