NettingSetId,NettingName,NettingType,CounterpartyId,Collateral,MTA,InputCurrency
251_B_VM CSA Eng,CSA,Margined,cpty1,0,150000,USD
252_A_VM CSA Eng,VM CSA Eng,Margined,cpty2,0,100000,USD
253_A_VM CSA Eng,VM CSA Eng,Unmargined,cpty3,620000,100000,USD
2543_B_VM CSA Eng,CSA,Unmargined,cpty4,1730000,75000,USD
2553_B_VM CSA Eng,CSA,Unmargined,cpty5,262859,7500000,TWD
256_C_IM CSA NY,VM CSA Eng,Unmargined,cpty6,-20000,50000,USD
256_D_VM CSA Eng,VM CSA Eng,Unmargined,cpty7,-3627912,400000,EUR
257_B_VM CSA Eng,VM CSA NY,Unmargined,cpty8,470000,250000,USD
259_C_IM CSD Eng,VM CSA Eng,Unmargined,cpty9,-720330,250000,USD
259_D_VM CSA Eng,VM CSA NY,Unmargined,cpty10,-70000,25000,USD
2596_A_Unmargined,VM CSA NY,Unmargined,cpty11,310000,25000,USD
260_C_VM CSA Eng,VM CSA NY,Unmargined,cpty12,-250000,25000,USD
2618_A_Unmargined,VM CSA NY,Unmargined,cpty13,30000,250000,USD
262_A_VM CSA Eng,VM CSA Eng,Unmargined,cpty14,6061634,250000,USD
263_A_Unmargined,VM CSA Eng,Unmargined,cpty15,-681210,250000,EUR
264_C_VM CSA Eng,VM CSA Eng,Unmargined,cpty16,-809534,150000,GBP
264_B_IM CSD Eng,VM CSA Eng,Unmargined,cpty17,2940557,250000,EUR
2642_A_Unmargined,VM CSA NY,Unmargined,cpty18,-670000,250000,USD
2658_A_VM CSA Eng,VM CSA NY,Unmargined,cpty19,90000,250000,USD
266_A_VM CSA Eng,VM CSA NY,Unmargined,cpty20,310000,250000,USD
267_E_VM CSA Eng,CSA,Unmargined,cpty21,-1940000,500000,USD
267_D_IM CSD Eng,VM CSA Eng,Unmargined,cpty22,350000,250000,USD
2674_A_VM CSA Eng,VM CSA Eng,Unmargined,cpty23,-261131,250000,EUR
269_A_Unmargined,VM CSA Eng,Unmargined,cpty24,7047520,150000,USD
270_B_VM CSA Eng,CSA,Margined,cpty25,234,100000,USD
2701_A_Unmargined,VM CSA Eng,Margined,cpty26,-567675,25000,EUR
271_D_VM CSA Eng,VM CSA Eng,Margined,cpty27,16530000,400000,USD
271_C_IM CSD Eng,VM CSA NY,Margined,cpty28,-2570000,300000,USD
2734_A_VM CSA Eng,VM CSA Eng,Margined,cpty29,560000,250000,USD
275_B_VM CSA NY,VM CSA Eng,Margined,cpty30,350000,100000,USD
2756_A_Unmargined,VM CSA Eng,Margined,cpty31,136242,50000,EUR
276_A_VM CSA Eng,No Calls,Margined,cpty32,0,250000,USD
